dataset,method,graph_found,num_nodes_full,num_edges_full,num_nodes_displayed,num_edges_displayed,view_type,output_png,error_message
cora,original,True,2708,5278,120,125,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\cora_original.png,
cora,ange_original,True,2708,5305,120,146,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\cora_ange_original.png,
cora,ange_modifie_ncc,True,2708,8016,120,236,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\cora_ange_modifie_ncc.png,
cora,zhou_pei,True,2708,21869,120,577,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\cora_zhou_pei.png,
cora,1hikda,True,2708,6060,120,148,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\cora_1hikda.png,
citeseer,original,True,3279,4552,120,285,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\citeseer_original.png,
citeseer,ange_original,True,3279,4566,120,296,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\citeseer_ange_original.png,
citeseer,ange_modifie_ncc,True,3279,8048,120,600,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\citeseer_ange_modifie_ncc.png,
citeseer,zhou_pei,True,3279,20107,120,906,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\citeseer_zhou_pei.png,
citeseer,1hikda,True,3279,5625,120,283,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\citeseer_1hikda.png,
polblog,original,True,1224,16715,120,2370,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\polblog_original.png,
polblog,ange_original,True,1224,16833,120,2379,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\polblog_ange_original.png,
polblog,ange_modifie_ncc,True,1224,17768,120,4703,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\polblog_ange_modifie_ncc.png,
polblog,zhou_pei,True,1224,39557,120,5434,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\polblog_zhou_pei.png,
polblog,1hikda,True,1224,17042,120,2383,sampled graph,C:\Users\E-S\Downloads\k-Anonymization\plots_graph_views\polblog_1hikda.png,
